name,address,website,phone_number,reviews_count,reviews_average,place_type,opens_at
Talent Connect Limited,"Hong Kong, Mong Kok, Nathan Rd, 580號, Nathan Centre, Room 1604",talentconnect.com.hk,,14.0,4.6,Human resource consulting, · 7pm · Opens 10am Wed
博華升學 Aas Education,"Hong Kong, Mong Kok, Nathan Rd, 625號雅蘭中心辦公樓二期 1708 室",aas.com.hk,+852 2323 3287,280.0,5.0,Educational consultant, · 7pm · Opens 10am Wed
香港職業發展服務處,"Hong Kong, Mong Kok, Canton Rd, 982號16樓4室",hkeds.org,+852 3165 8870,9.0,4.9,Non-profit organization, · Closes 9:30pm
New Wish Employment Agency,"Room 1522-23, Hollywood Plaza,, 610 Nathan Road, Mongkok, Hong Kong",newwishhk.com,+852 2577 0378,8.0,2.5,Employment consultant, · 7:30pm · Opens 10:30am Wed
萬隆海外僱傭中心 旺角店 Bandung Enterprises (Employment Agency) 印傭、菲傭、孟傭等外傭女傭中介服務,"1312室 Rm 1312 13/F, MTR Exit E1, 彌敦道655號, 655 Nathan Rd, Mong Kok, Hong Kong",bandung.com.hk,+852 2157 3728,53.0,4.7,Employment center, · 7pm · Opens 10am Wed
楓葉教育升學中心 Maple Overseas Education,"655 Nathan Rd, Mong Kok, Hong Kong",mapleedu.com.hk,+852 2384 2108,15.0,4.7,Educational consultant, · 7pm · Opens 10am Wed
Sun Red Consultancy,"Hong Kong, Mong Kok, Nathan Rd, 700號T.O.P16樓",,+852 6514 1419,,,Educational consultant,
家營營養中心 Kat-Spirit Nutrition Centre (旺角總店),"Room 1420-22, 14/F, Hollywood Plaza, 610 Nathan Rd, Mong Kok, Hong Kong",kat-spirit.com,+852 3520 2640,63.0,4.8,Nutritionist, · Closes 9pm
Ebro Executive Search Limited,"Langham Place, Hong Kong",ebrohrs.com,,2.0,5.0,Consultant,
Guitar Concept,"Hong Kong, Mong Kok, Nathan Rd, 728-730號, Kwong On Bank Mongkok Branch Building, 9樓全層",guitarconcept.hk,+852 3575 9868,201.0,5.0,Conservatory of music, · Closes 10pm
Hz Job Consultant Limited,"655 Nathan Rd, Mong Kok, Hong Kong",hzjob.com,+852 2395 9800,,,Human resource consulting,
Angels Caregiver Limited 天使護理僱傭有限公司,"2207109號 Argyle St, Mong Kok, Hong Kong",angelscaregiver.com,+852 2151 1133,20.0,4.6,Employment agency, · Opens 11am Wed
Omni Mind Gym Psychological Services,"Hong Kong, Yau Ma Tei, Nathan Rd, 570號6/F",omg-centre.com,,10.0,3.6,Psychopedagogy clinic, · Closes 9:30pm
英文補習,"1樓B室, Nelson Court, 45號 窩打路道, Mong Kok, Hong Kong",spencerlam.hk,+852 6796 1185,681.0,4.9,Cramming school,
Easy Living Consultant Limited,"23/F, Pioneer Centre, 750 Nathan Rd, Hong Kong",hkeasyliving.com,+852 2625 0498,14.0,2.4,Consultant, · Opens 9am Wed
Jollyhelper,"Kai Yue Commercial Building, Room 202, 2/F, 2C Argyle St, Mong Kok, Hong Kong",jollyhelper.com,+852 3612 9900,11.0,3.9,Employment agency, · 7pm · Opens 10am Wed
希瑪微笑矯視手術中心 Cmer Smile Refractive Surgery Centre,"Hong Kong, Mong Kok, Nathan Rd, 639號, Grand Plaza, 一期1725B室",smile.hkcmereye.com,+852 3892 5099,864.0,4.9,Eye care center, · 7pm · Opens 9am Wed
Happy Seeds Education Centre (Fortune Court),"1樓全層, Fortune Court, 27-31號 Tai Nan St, Mong Kok, Hong Kong",happyseeds.com.hk,+852 2331 3877,90.0,4.8,Education center,Open 24 hours
