name,address,website,phone_number,reviews_count,reviews_average,place_type,opens_at
Gotouniversity,Lake Plaza - Unit 1706 - 1 Cluster T - Al Thanyah Fifth - Jumeirah Lakes Towers - Dubai - United Arab Emirates,gotouniversity.com,+971 55 200 7539,155.0,4.7,Educational consultant, · Closes 8pm
Ania Lidia,Marina Plaza - Marsa Dubai - Dubai Marina - Dubai - United Arab Emirates,lifecoachindubai.com,+971 58 588 6210,20.0,4.8,Life coach,Open · Closes 10pm
Kindlecareer Dubai,Flat no. 311 - 1000 Building 9C St - Al Mankhool - Dubai - United Arab Emirates,kindlecareer.com,+971 52 284 3543,9.0,5.0,Career guidance service, · Closes 5pm
Kareer Propel,Al Thanyah Third - The Greens - Dubai - United Arab Emirates,kareerpropel.com,+971 55 993 2436,12.0,5.0,Student career counseling office, · Closes 6pm
"Brighterprep: Admission Consulting, Exam Prep SAT IELTS PTE LNAT GMAT GRE UCAT Tutoring Classes Dubai",Lake Plaza - 1706 Cluster T - Al Thanyah Fifth - Jumeirah Lakes Towers - Dubai - United Arab Emirates,brighterprep.com,+971 55 200 7539,167.0,4.8,Educational consultant, · Closes 8pm
Right Training & Career Development Center (Rtcd),"Bank Street Building - Office - 509, BMI Building, Khalid Bin Al Waleed Street - Kalid Bin Al Waleed Road - Bur Dubai - Dubai - United Arab Emirates",rt-cd.com,+971 4 355 7940,230.0,4.9,Training center, · Closes 7:30pm
Vedatma,"Office 15, Building 3, OneSpace, Dubai Investment Park 1 - Dubai - United Arab Emirates",vedatma.com,+971 58 882 9683,18.0,5.0,Student career counseling office, · Closes 5pm
Ages,"AA, Mazaya Business Avenue - Al Thanyah Fifth - Jumeirah Lakes Towers - Dubai - United Arab Emirates",ageseg.org,+971 52 919 3852,5.0,4.6,Educational consultant,Open · Closes 3:30pm
Counselling Point Training And Development,"202, Nasser Lootah Building,, Khalid Bin Al Waleed Road (Bank Street) - Dubai - United Arab Emirates",counsellingpoint.com,+971 4 397 8846,23.0,4.9,Student career counseling office, · Closes 7pm
Career Education Dubai,"Ali Khalifa Belasishs Bin Belaishs Alketbi, Mankhool Building - Room no: 107 - 17B St - near ADCB Metro Station - Al Karama - Dubai - United Arab Emirates",careereducations.com,+971 4 323 4798,733.0,4.7,Educational consultant, · Closes 8pm
Unihawk Global,Al Saqr Business Tower - 17 - 01 Sheikh Zayed Zayed Road - Trade Center Second - DIFC - Dubai - United Arab Emirates,unihawk.com,+971 50 877 8589,208.0,4.9,Educational consultant, · Closes 9pm
Leapscholar UAE,Al Moosa Tower 1 - Trade Center First - Dubai - United Arab Emirates,leapscholar.ae,+971 50 150 1220,776.0,4.7,Educational consultant, · Closes 6pm
Crimson Education,DIFC Innovation One Building 9th Floor Office 901 - near Central Park Towers - Dubai - United Arab Emirates,crimsoneducation.org,+971 58 557 3282,27.0,4.5,Educational consultant, · Closes 6pm
Proventus Education,KIA Flagship Bldg - G28 - Sheikh Zayed Rd - Al Qouz First - Al Quoz - Dubai - United Arab Emirates,,+971 52 727 5333,7.0,4.4,Educational consultant, · Closes 6pm
Dubai Life Coach,Standard Chartered Tower - Emaar Square - Downtown Dubai - Dubai - United Arab Emirates,dubailifecoach.com,+971 55 796 1220,174.0,4.9,Life coach, · Closes 7pm
Inner Universe,"Burdubai, Bank Street Building - 107 Khalid Bin Al Waleed Rd - Al Mankhool - Dubai - United Arab Emirates",inneruniverse.org,+971 4 388 9447,10.0,4.2,Educational consultant, · Closes 7pm
Iq Education Consultants,"Suite 403, Office Court Building, Oud Metha Rd Opp Oud Metha Metro - Dubai - United Arab Emirates",iqeducationconsultants.com,+971 55 216 7587,373.0,4.7,Educational consultant, · Closes 6pm
Resume Design,The dubai mall - Zaa'beel Second - DIFC - Dubai - United Arab Emirates,resumedesignservice.wixsite.com,,,,Career guidance service,
Career Mentor,Boulevard Plaza Tower 1 - Sheikh Mohammed bin Rashid Blvd - Burj Khalifa - Downtown Dubai - Dubai - United Arab Emirates,,+971 50 594 5982,1.0,3.0,Career guidance service, · Closes 6pm
Juliana Khalil Lifestyle Coaching,"401 office, Al-Saqr Business Tower - Sheikh Zayed Rd - Trade Center Second - DIFC - Dubai - United Arab Emirates",julianakhalil.com,+971 50 498 5375,42.0,5.0,Life coach, · Closes 5pm
Edlogica UAE,Aspin Commercial Tower - 10th Floor - 106 Sheikh Zayed Rd - Trade Center First - Dubai - United Arab Emirates,edlogica.com,+971 56 911 6152,7.0,5.0,Educational consultant, · Closes 6:30pm
Dr Education Consulting,Al Zarooni Business Center - Al Barsha First - Al Barsha - Dubai - United Arab Emirates,dreducationconsulting.com,+971 58 588 3734,46.0,5.0,Educational consultant, · Closes 6pm
Groupl Education,Dusseldorf Business Point - 302 - 1 Al Barsha Rd - Al Barsha First - Al Barsha - Dubai - United Arab Emirates,groupleducation.com,+971 56 548 3995,53.0,4.8,Educational consultant, · Closes 6pm
Mavens Education,The One Tower - 45th floor - Al Thanyah First - Barsha Heights - Dubai - United Arab Emirates,mavenseducation.com,+971 50 570 5620,10.0,5.0,Educational consultant, · Closes 6pm
Ivy Options,دبي API Business Suites - Dubai - United Arab Emirates,ivyoptions.com,+971 58 516 1400,12.0,5.0,Educational consultant, · Closes 6pm
"Openminds Centre, Al Barsha",The One Tower - Al Thanyah First - Barsha Heights - Dubai - United Arab Emirates,openmindscenter.com,+971 4 876 1444,350.0,4.6,Mental Hospital, · Closes 8:30pm
Nidhi Bruce,"Office 36, 401, Al Zarouni Business Centre - Al Barsha - Dubai - United Arab Emirates",,,14.0,5.0,Life coach, · Closes 5pm
Unied Ventures,"2nd Floor, Office 246, Al Barsha Center, Al barsha 1 Dubai Landmark: - opposite to Centro Rotana Hotel - Dubai - United Arab Emirates",uniedventures.com,+971 58 539 6489,8.0,5.0,Educational consultant,
IDP Dubai,The One Tower - 7th floor - Sheikh Zayed Rd - Al Thanyah First - Barsha Heights - Dubai - United Arab Emirates,idp.com,+971 4 344 6814,2404.0,4.8,Educational consultant, · Closes 7:30pm
Stratevo,4683+6JH - Al Barsha First - Al Barsha - Dubai - United Arab Emirates,,,,,Student career counseling office,
Unlocked Potentials Coaching Services,Villa 10 - Street 4 - Al Thanyah Fourth - Springs 10 - Dubai - United Arab Emirates,unlockedpotentials.com,+971 52 876 6390,19.0,5.0,Life coach, · Closes 7:30pm
UAE Coaching,Iridium Building - Al Barsha First - Al Barsha - Dubai - United Arab Emirates,uaecoaching.com,+971 55 138 7652,51.0,4.9,Life coach, · Closes 7pm
Edumilestones,"2nd Floor, Honnu Mansion, 17th Main Rd, KHB Colony, 5th Block, Koramangala, Bengaluru, Karnataka 560095",edumilestones.com,096202 34650,695.0,4.9,Career guidance service, · Closes 6pm
Career Lab Consultancy And Training,685 Al Manhal St - Mohamed Bin Zayed City - Z19 - Abu Dhabi - United Arab Emirates,careerlab.ae,+971 2 553 1900,185.0,4.6,Training center, · Closes 6pm
Amourion Training Centre,Al Ghaith Tower - Office 704 - Hamdan Bin Mohammed St - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,amourion.ae,+971 55 956 4344,21.0,4.9,Educational institution, · Closes 8pm
Career Education Al Ain,"Fab Islamic Bank Building, Clock Tower - Ist Floor , 103 - opposite Emirates Post - Central District - Al Rubainah - Abu Dhabi - United Arab Emirates",careereducations.com,+971 3 722 8538,88.0,5.0,Educational consultant, · Closes 8pm
American Center For Psychiatry And Neurology,Villa No. 92 Al Shallah St - Al Khibeesi - Al Sidra - Abu Dhabi - United Arab Emirates,americancenteruae.com,+971 800 2276,144.0,4.5,Mental Hospital, · Closes 9pm
Family Guidance Alain,6PQH+7MX - Al Jimi - Civic Center - Abu Dhabi - United Arab Emirates,,+971 800 2353,91.0,3.9,Notary public, · Closes 4pm
Reap HR Services & Recruitment Agency Abu Dhabi,"Office # 4, 1st Floor - Building 1 As Siham 8 St - Industrial Area - Leetag - Abu Dhabi - United Arab Emirates",reaphr.com,+971 3 780 8246,58.0,4.8,Recruiter, · Closes 5:30pm
Alpha Training & Strategic Management,"16797 - 3rd Floor, Building 105 - 105 Othman Bin Affan St - next to Al Ain Mall - Central District - Al Kuwaitat - Abu Dhabi - United Arab Emirates",alphahmc.com,+971 3 780 2818,372.0,4.8,Health consultant, · Closes 6pm
Melodica Music Academy,"First Floor, Al Ain Mall - Abu Dhabi - United Arab Emirates",melodica.ae,+971 3 783 3565,608.0,5.0,Music school, · Closes 10pm
محمد غانم,Al Shallah St - Al Khibeesi - Al Sidrah - Abu Dhabi - United Arab Emirates,,+971 3 542 1457,35.0,2.8,Life coach, · Closes 6pm
The Preparation Review Learning Center,"Office, Bin Ham Building - 08 Second Floor - above Aramex Office - Al Muwaij'i - Shareat Al Muwaiji - Abu Dhabi - United Arab Emirates",preparationreview.com,+971 56 288 7914,118.0,4.7,Training center, · Closes 8pm
Alpha Health Group,R Floor - 105 Othman Bin Affan St - next to Al Ain Mall - Central District - Al Kuwaitat - Abu Dhabi - United Arab Emirates,alphahmc.com,+971 3 737 7390,212.0,4.6,Health consultant, · Closes 6pm
Talents R US Sports Academy,Al Ain - Dubai Rd - Al Tiwayya - Eidan Al Jareh - Abu Dhabi - United Arab Emirates,instagram.com,+971 52 300 6651,116.0,4.8,Sports club, · Opens 4pm
Driving Instructor Al Ain UAE,Al Noud - Wadi Al Ain 1 - Abu Dhabi - United Arab Emirates,,+971 55 118 8123,78.0,4.9,Driving school,
Larosh Beauty & Fitness Center,Al Jimi - Slemi - Abu Dhabi - United Arab Emirates,,+971 3 763 5030,793.0,4.7,Beauty Parlour, · Closes 9pm
Casa Do Nelson,150 Al Jami' Al Kabeer St - Al Jimi - Ugdat Al Ameriya - Abu Dhabi - United Arab Emirates,,+971 55 659 7810,,,Life coach,
Future Fit EMS (Al-Ain Branch),Central District - Nad Al Rusas - Abu Dhabi - United Arab Emirates,futurefit.ae,+971 52 721 3402,81.0,4.3,Fitness center, · Closes 10pm
E-Life EMS Private Training Al Ain,Building 75 - Office 6 Al Shifa Bint Abdullah St - 'Asharij - Bida Bin Ammar - Abu Dhabi - United Arab Emirates,elife-ems.com,+971 58 569 9392,58.0,4.9,Fitness center, · Closes 10pm
Empower Your Essence Lifestyle Consultations,,empoweryouressencebydrsaira.com,+971 50 482 9334,13.0,5.0,Life coach, · Closes 6pm
Al Ain Ladies Club,131st St - Al Markhaniyyah - Mreifia - Abu Dhabi - United Arab Emirates,instagram.com,+971 3 767 0003,480.0,3.8,Gym, · Closes 10pm
